# Region type :  patch inlet
# Faces          : 70
# Area           : 9.8000000000e-03
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
1.71717          	-3.8475943606e-02
1.72222          	-3.8473528635e-02
1.72727          	-3.8471115457e-02
1.73232          	-3.8468701043e-02
1.73737          	-3.8466288500e-02
1.74242          	-3.8463874747e-02
1.74747          	-3.8461462805e-02
1.75253          	-3.8459049711e-02
1.75758          	-3.8456638379e-02
1.76263          	-3.8454225861e-02
1.76768          	-3.8451815148e-02
1.77273          	-3.8449403247e-02
1.77778          	-3.8446993147e-02
1.78283          	-3.8444581910e-02
1.78788          	-3.8442172401e-02
1.79293          	-3.8439761739e-02
1.79798          	-3.8437352867e-02
1.80303          	-3.8434942910e-02
1.80808          	-3.8432534616e-02
1.81313          	-3.8430125286e-02
1.81818          	-3.8427717587e-02
1.82323          	-3.8425308880e-02
1.82828          	-3.8422901754e-02
1.83333          	-3.8420493645e-02
1.83838          	-3.8418087108e-02
1.84343          	-3.8415679656e-02
1.84848          	-3.8413273732e-02
1.85354          	-3.8410866961e-02
1.85859          	-3.8408461592e-02
1.86364          	-3.8406055396e-02
1.86869          	-3.8403650606e-02
1.87374          	-3.8401245079e-02
1.87879          	-3.8398840867e-02
1.88384          	-3.8396435925e-02
1.88889          	-3.8394032312e-02
1.89394          	-3.8391628042e-02
1.89899          	-3.8389224979e-02
1.90404          	-3.8386821360e-02
1.90909          	-3.8384418851e-02
1.91414          	-3.8382015818e-02
1.91919          	-3.8379613904e-02
1.92424          	-3.8377211483e-02
1.92929          	-3.8374810135e-02
1.93434          	-3.8372408386e-02
1.93939          	-3.8370007618e-02
1.94444          	-3.8367606416e-02
1.94949          	-3.8365206224e-02
1.95455          	-3.8362805684e-02
1.9596           	-3.8360406066e-02
1.96465          	-3.8358006121e-02
1.9697           	-3.8355607083e-02
1.97475          	-3.8353207568e-02
1.9798           	-3.8350809198e-02
1.98485          	-3.8348410351e-02
1.9899           	-3.8346012563e-02
1.99495          	-3.8343614329e-02
2                	-3.8341217126e-02
2.00505          	-3.8338819439e-02
2.0101           	-3.8336422858e-02
2.01515          	-3.8334025800e-02
2.0202           	-3.8331629796e-02
2.02525          	-3.8329233229e-02
2.0303           	-3.8326837845e-02
2.03535          	-3.8324442023e-02
2.0404           	-3.8322047214e-02
2.04545          	-3.8319651825e-02
2.05051          	-3.8317257628e-02
2.05556          	-3.8314862861e-02
2.06061          	-3.8312469296e-02
2.06566          	-3.8310075207e-02
2.07071          	-3.8307682197e-02
2.07576          	-3.8305288515e-02
2.08081          	-3.8302896133e-02
2.08586          	-3.8300503221e-02
2.09091          	-3.8298111407e-02
2.09596          	-3.8295718888e-02
2.10101          	-3.8293327718e-02
2.10606          	-3.8290935845e-02
2.11111          	-3.8288545256e-02
2.11616          	-3.8286153963e-02
2.12121          	-3.8283764012e-02
2.12626          	-3.8281373209e-02
2.13131          	-3.8278983870e-02
2.13636          	-3.8276593776e-02
2.14141          	-3.8274205000e-02
2.14646          	-3.8271815517e-02
2.15152          	-3.8269427289e-02
2.15657          	-3.8267038294e-02
2.16162          	-3.8264650698e-02
2.16667          	-3.8262262353e-02
2.17172          	-3.8259875374e-02
2.17677          	-3.8257487599e-02
2.18182          	-3.8255101197e-02
2.18687          	-3.8252713994e-02
2.19192          	-3.8250328187e-02
2.19697          	-3.8247941548e-02
2.20202          	-3.8245556324e-02
2.20707          	-3.8243170336e-02
2.21212          	-3.8240785689e-02
2.21717          	-3.8238400268e-02
2.22222          	-3.8236016202e-02
2.22727          	-3.8233631393e-02
2.23232          	-3.8231247915e-02
2.23737          	-3.8228863724e-02
2.24242          	-3.8226477326e-02
2.24747          	-3.8224098898e-02
2.25253          	-3.8221713383e-02
2.25758          	-3.8219333111e-02
2.26263          	-3.8216949520e-02
2.26768          	-3.8214568546e-02
2.27273          	-3.8212186194e-02
2.27778          	-3.8209805362e-02
2.28283          	-3.8207423867e-02
2.28788          	-3.8205043503e-02
2.29293          	-3.8202662707e-02
2.29798          	-3.8200283144e-02
2.30303          	-3.8197899502e-02
2.30808          	-3.8195522990e-02
2.31313          	-3.8193142871e-02
2.31818          	-3.8190765275e-02
2.32323          	-3.8188385997e-02
2.32828          	-3.8186007992e-02
2.33333          	-3.8183629562e-02
2.33838          	-3.8181252364e-02
2.34343          	-3.8178871118e-02
2.34848          	-3.8176496957e-02
2.35354          	-3.8174119185e-02
2.35859          	-3.8171744250e-02
2.36364          	-3.8169363926e-02
2.36869          	-3.8166991092e-02
2.37374          	-3.8164614401e-02
2.37879          	-3.8162240829e-02
2.38384          	-3.8159861575e-02
2.38889          	-3.8157489695e-02
2.39394          	-3.8155114265e-02
2.39899          	-3.8152741849e-02
2.40404          	-3.8150364094e-02
2.40909          	-3.8147995091e-02
2.41414          	-3.8145618604e-02
2.41919          	-3.8143247827e-02
2.42424          	-3.8140873637e-02
2.42929          	-3.8138501923e-02
2.43434          	-3.8136129201e-02
2.43939          	-3.8133757945e-02
2.44444          	-3.8131382581e-02
2.44949          	-3.8129014288e-02
2.45455          	-3.8126642418e-02
2.4596           	-3.8124273482e-02
2.46465          	-3.8121899279e-02
2.4697           	-3.8119533790e-02
2.47475          	-3.8117160892e-02
2.4798           	-3.8114793529e-02
2.48485          	-3.8112422918e-02
2.4899           	-3.8110055151e-02
2.49495          	-3.8107682487e-02
2.5              	-3.8105317269e-02
2.50505          	-3.8102948211e-02
2.5101           	-3.8100582164e-02
2.51515          	-3.8098210624e-02
2.5202           	-3.8095846400e-02
2.52525          	-3.8093478611e-02
2.5303           	-3.8091113616e-02
2.53535          	-3.8088743399e-02
2.5404           	-3.8086380643e-02
2.54545          	-3.8084013904e-02
2.55051          	-3.8081649853e-02
2.55556          	-3.8079284129e-02
2.56061          	-3.8076919577e-02
2.56566          	-3.8074554733e-02
2.57071          	-3.8072190810e-02
2.57576          	-3.8069823262e-02
2.58081          	-3.8067462447e-02
2.58586          	-3.8065098444e-02
2.59091          	-3.8062736977e-02
2.59596          	-3.8060370293e-02
2.60101          	-3.8058010945e-02
2.60606          	-3.8055647766e-02
2.61111          	-3.8053287238e-02
2.61616          	-3.8050925032e-02
2.62121          	-3.8048564288e-02
2.62626          	-3.8046199547e-02
2.63131          	-3.8043841706e-02
2.63636          	-3.8041480497e-02
2.64141          	-3.8039121620e-02
2.64646          	-3.8036761308e-02
2.65152          	-3.8034402158e-02
2.65657          	-3.8032042537e-02
2.66162          	-3.8029683729e-02
2.66667          	-3.8027321300e-02
2.67172          	-3.8024967232e-02
2.67677          	-3.8022607461e-02
2.68182          	-3.8020251286e-02
2.68687          	-3.8017892726e-02
2.69192          	-3.8015535881e-02
2.69697          	-3.8013178592e-02
2.70202          	-3.8010822512e-02
2.70707          	-3.8008462487e-02
2.71212          	-3.8006109403e-02
2.71717          	-3.8003752806e-02
2.72222          	-3.8001398617e-02
2.72727          	-3.7999042955e-02
2.73232          	-3.7996688309e-02
2.73737          	-3.7994329980e-02
2.74242          	-3.7991980006e-02
2.74747          	-3.7989624298e-02
2.75253          	-3.7987272213e-02
2.75758          	-3.7984917791e-02
2.76263          	-3.7982565197e-02
2.76768          	-3.7980208417e-02
2.77273          	-3.7977860248e-02
2.77778          	-3.7975506205e-02
2.78283          	-3.7973155986e-02
2.78788          	-3.7970803192e-02
2.79293          	-3.7968452339e-02
2.79798          	-3.7966100752e-02
2.80303          	-3.7963750334e-02
2.80808          	-3.7961399534e-02
2.81313          	-3.7959049623e-02
2.81818          	-3.7956699388e-02
2.82323          	-3.7954349926e-02
2.82828          	-3.7952000276e-02
2.83333          	-3.7949651552e-02
2.83838          	-3.7947299145e-02
2.84343          	-3.7944953509e-02
2.84848          	-3.7942604647e-02
2.85354          	-3.7940258313e-02
2.85859          	-3.7937906865e-02
2.86364          	-3.7935562594e-02
2.86869          	-3.7933214702e-02
2.87374          	-3.7930869234e-02
2.87879          	-3.7928522317e-02
2.88384          	-3.7926176524e-02
2.88889          	-3.7923830412e-02
2.89394          	-3.7921485250e-02
2.89899          	-3.7919136341e-02
2.90404          	-3.7916794233e-02
2.90909          	-3.7914448864e-02
2.91414          	-3.7912105646e-02
2.91919          	-3.7909761118e-02
2.92424          	-3.7907417460e-02
2.92929          	-3.7905073748e-02
2.93434          	-3.7902730764e-02
2.93939          	-3.7900384271e-02
2.94444          	-3.7898044577e-02
2.94949          	-3.7895701472e-02
2.95455          	-3.7893360521e-02
2.9596           	-3.7891018336e-02
