# Field minima and maxima
# Time           	min(p)           	max(p)           
0.151204819      	1.0000000000e+05	1.0939954382e+05
0.152204819      	1.0000000000e+05	1.0939954354e+05
0.153204819      	1.0000000000e+05	1.0939954379e+05
0.154204819      	1.0000000000e+05	1.0939954355e+05
0.155204819      	1.0000000000e+05	1.0939954376e+05
0.156204819      	1.0000000000e+05	1.0939954356e+05
0.157204819      	1.0000000000e+05	1.0939954374e+05
0.158204819      	1.0000000000e+05	1.0939954357e+05
0.159204819      	1.0000000000e+05	1.0939954373e+05
0.160204819      	1.0000000000e+05	1.0939954358e+05
0.161204819      	1.0000000000e+05	1.0939954372e+05
0.162204819      	1.0000000000e+05	1.0939954360e+05
0.163204819      	1.0000000000e+05	1.0939954371e+05
0.164204819      	1.0000000000e+05	1.0939954361e+05
0.165204819      	1.0000000000e+05	1.0939954371e+05
0.166204819      	1.0000000000e+05	1.0939954361e+05
0.167204819      	1.0000000000e+05	1.0939954370e+05
0.168204819      	1.0000000000e+05	1.0939954362e+05
0.169204819      	1.0000000000e+05	1.0939954369e+05
0.170204819      	1.0000000000e+05	1.0939954363e+05
0.171204819      	1.0000000000e+05	1.0939954369e+05
0.172204819      	1.0000000000e+05	1.0939954363e+05
0.173204819      	1.0000000000e+05	1.0939954369e+05
0.174204819      	1.0000000000e+05	1.0939954364e+05
0.175204819      	1.0000000000e+05	1.0939954368e+05
0.176204819      	1.0000000000e+05	1.0939954364e+05
0.177204819      	1.0000000000e+05	1.0939954368e+05
0.178204819      	1.0000000000e+05	1.0939954364e+05
0.179204819      	1.0000000000e+05	1.0939954368e+05
0.180204819      	1.0000000000e+05	1.0939954365e+05
0.181204819      	1.0000000000e+05	1.0939954368e+05
0.182204819      	1.0000000000e+05	1.0939954365e+05
0.183204819      	1.0000000000e+05	1.0939954368e+05
0.184204819      	1.0000000000e+05	1.0939954365e+05
0.185204819      	1.0000000000e+05	1.0939954367e+05
0.186204819      	1.0000000000e+05	1.0939954365e+05
0.187204819      	1.0000000000e+05	1.0939954367e+05
0.188204819      	1.0000000000e+05	1.0939954366e+05
0.189204819      	1.0000000000e+05	1.0939954367e+05
0.190204819      	1.0000000000e+05	1.0939954366e+05
0.191204819      	1.0000000000e+05	1.0939954367e+05
0.192204819      	1.0000000000e+05	1.0939954366e+05
0.193204819      	1.0000000000e+05	1.0939954367e+05
0.194204819      	1.0000000000e+05	1.0939954366e+05
0.195204819      	1.0000000000e+05	1.0939954367e+05
0.196204819      	1.0000000000e+05	1.0939954366e+05
0.197204819      	1.0000000000e+05	1.0939954367e+05
0.198204819      	1.0000000000e+05	1.0939954366e+05
0.199204819      	1.0000000000e+05	1.0939954367e+05
0.200204819      	1.0000000000e+05	1.0939954366e+05
0.201204819      	1.0000000000e+05	1.0939954367e+05
0.202204819      	1.0000000000e+05	1.0939954366e+05
0.203204819      	1.0000000000e+05	1.0939954367e+05
0.204204819      	1.0000000000e+05	1.0939954366e+05
0.205204819      	1.0000000000e+05	1.0939954367e+05
0.206204819      	1.0000000000e+05	1.0939954366e+05
0.207204819      	1.0000000000e+05	1.0939954367e+05
0.208204819      	1.0000000000e+05	1.0939954366e+05
0.209204819      	1.0000000000e+05	1.0939954367e+05
0.210204819      	1.0000000000e+05	1.0939954366e+05
0.211204819      	1.0000000000e+05	1.0939954366e+05
0.212204819      	1.0000000000e+05	1.0939954366e+05
0.213204819      	1.0000000000e+05	1.0939954366e+05
0.214204819      	1.0000000000e+05	1.0939954366e+05
0.215204819      	1.0000000000e+05	1.0939954366e+05
0.216204819      	1.0000000000e+05	1.0939954366e+05
0.217204819      	1.0000000000e+05	1.0939954366e+05
0.218204819      	1.0000000000e+05	1.0939954366e+05
0.219204819      	1.0000000000e+05	1.0939954366e+05
0.220204819      	1.0000000000e+05	1.0939954366e+05
0.221204819      	1.0000000000e+05	1.0939954366e+05
0.222204819      	1.0000000000e+05	1.0939954366e+05
0.223204819      	1.0000000000e+05	1.0939954366e+05
0.224204819      	1.0000000000e+05	1.0939954366e+05
0.225204819      	1.0000000000e+05	1.0939954366e+05
0.226204819      	1.0000000000e+05	1.0939954366e+05
0.227204819      	1.0000000000e+05	1.0939954366e+05
0.228204819      	1.0000000000e+05	1.0939954366e+05
0.229204819      	1.0000000000e+05	1.0939954366e+05
0.230204819      	1.0000000000e+05	1.0939954366e+05
0.231204819      	1.0000000000e+05	1.0939954366e+05
0.232204819      	1.0000000000e+05	1.0939954366e+05
0.233204819      	1.0000000000e+05	1.0939954366e+05
0.234204819      	1.0000000000e+05	1.0939954366e+05
0.235204819      	1.0000000000e+05	1.0939954366e+05
0.236204819      	1.0000000000e+05	1.0939954366e+05
0.237204819      	1.0000000000e+05	1.0939954366e+05
0.238204819      	1.0000000000e+05	1.0939954366e+05
0.239204819      	1.0000000000e+05	1.0939954366e+05
0.240204819      	1.0000000000e+05	1.0939954365e+05
0.241204819      	1.0000000000e+05	1.0939954365e+05
0.242204819      	1.0000000000e+05	1.0939954365e+05
0.243204819      	1.0000000000e+05	1.0939954365e+05
0.244204819      	1.0000000000e+05	1.0939954365e+05
0.245204819      	1.0000000000e+05	1.0939954365e+05
0.246204819      	1.0000000000e+05	1.0939954364e+05
0.247204819      	1.0000000000e+05	1.0939954363e+05
0.248204819      	1.0000000000e+05	1.0939954361e+05
0.249204819      	1.0000000000e+05	1.0939954360e+05
0.250204819      	1.0000000000e+05	1.0939954359e+05
0.251204819      	1.0000000000e+05	1.0939954358e+05
0.252204819      	1.0000000000e+05	1.0939954356e+05
0.253204819      	1.0000000000e+05	1.0939954355e+05
0.254204819      	1.0000000000e+05	1.0939954354e+05
0.255204819      	1.0000000000e+05	1.0939954353e+05
0.256204819      	1.0000000000e+05	1.0939954351e+05
0.257204819      	1.0000000000e+05	1.0939954350e+05
0.258204819      	1.0000000000e+05	1.0939954349e+05
0.259204819      	1.0000000000e+05	1.0939954348e+05
0.260204819      	1.0000000000e+05	1.0939954347e+05
0.261204819      	1.0000000000e+05	1.0939954345e+05
0.262204819      	1.0000000000e+05	1.0939954344e+05
0.263204819      	1.0000000000e+05	1.0939954343e+05
0.264204819      	1.0000000000e+05	1.0939954342e+05
0.265204819      	1.0000000000e+05	1.0939954341e+05
0.266204819      	1.0000000000e+05	1.0939954339e+05
0.267204819      	1.0000000000e+05	1.0939954338e+05
0.268204819      	1.0000000000e+05	1.0939954337e+05
0.269204819      	1.0000000000e+05	1.0939954336e+05
0.270204819      	1.0000000000e+05	1.0939954335e+05
0.271204819      	1.0000000000e+05	1.0939954334e+05
0.272204819      	1.0000000000e+05	1.0939954334e+05
0.273204819      	1.0000000000e+05	1.0939954334e+05
0.274204819      	1.0000000000e+05	1.0939954333e+05
0.275204819      	1.0000000000e+05	1.0939954333e+05
0.276204819      	1.0000000000e+05	1.0939954333e+05
0.277204819      	1.0000000000e+05	1.0939954333e+05
0.278204819      	1.0000000000e+05	1.0939954333e+05
0.279204819      	1.0000000000e+05	1.0939954333e+05
0.280204819      	1.0000000000e+05	1.0939954333e+05
0.281204819      	1.0000000000e+05	1.0939954333e+05
0.282204819      	1.0000000000e+05	1.0939954333e+05
0.283204819      	1.0000000000e+05	1.0939954333e+05
0.284204819      	1.0000000000e+05	1.0939954333e+05
0.285204819      	1.0000000000e+05	1.0939954333e+05
0.286204819      	1.0000000000e+05	1.0939954333e+05
0.287204819      	1.0000000000e+05	1.0939954333e+05
0.288204819      	1.0000000000e+05	1.0939954333e+05
0.289204819      	1.0000000000e+05	1.0939954333e+05
0.290204819      	1.0000000000e+05	1.0939954333e+05
0.291204819      	1.0000000000e+05	1.0939954333e+05
0.292204819      	1.0000000000e+05	1.0939954333e+05
0.293204819      	1.0000000000e+05	1.0939954333e+05
0.294204819      	1.0000000000e+05	1.0939954333e+05
0.295204819      	1.0000000000e+05	1.0939954333e+05
0.296204819      	1.0000000000e+05	1.0939954333e+05
0.297204819      	1.0000000000e+05	1.0939954333e+05
0.298204819      	1.0000000000e+05	1.0939954332e+05
0.299204819      	1.0000000000e+05	1.0939954332e+05
0.300204819      	1.0000000000e+05	1.0939954332e+05
0.301204819      	1.0000000000e+05	1.0939954332e+05
0.302204819      	1.0000000000e+05	1.0939954332e+05
0.303204819      	1.0000000000e+05	1.0939954332e+05
0.304204819      	1.0000000000e+05	1.0939954332e+05
0.305204819      	1.0000000000e+05	1.0939954332e+05
0.306204819      	1.0000000000e+05	1.0939954332e+05
0.307204819      	1.0000000000e+05	1.0939954332e+05
0.308204819      	1.0000000000e+05	1.0939954332e+05
0.309204819      	1.0000000000e+05	1.0939954332e+05
0.310204819      	1.0000000000e+05	1.0939954332e+05
0.311204819      	1.0000000000e+05	1.0939954332e+05
0.312204819      	1.0000000000e+05	1.0939954332e+05
0.313204819      	1.0000000000e+05	1.0939954332e+05
0.314204819      	1.0000000000e+05	1.0939954332e+05
0.315204819      	1.0000000000e+05	1.0939954332e+05
0.316204819      	1.0000000000e+05	1.0939954332e+05
0.317204819      	1.0000000000e+05	1.0939954332e+05
0.318204819      	1.0000000000e+05	1.0939954332e+05
0.319204819      	1.0000000000e+05	1.0939954331e+05
0.320204819      	1.0000000000e+05	1.0939954331e+05
0.321204819      	1.0000000000e+05	1.0939954331e+05
0.322204819      	1.0000000000e+05	1.0939954331e+05
0.323204819      	1.0000000000e+05	1.0939954331e+05
0.324204819      	1.0000000000e+05	1.0939954331e+05
0.325204819      	1.0000000000e+05	1.0939954331e+05
0.326204819      	1.0000000000e+05	1.0939954331e+05
0.327204819      	1.0000000000e+05	1.0939954331e+05
0.328204819      	1.0000000000e+05	1.0939954331e+05
0.329204819      	1.0000000000e+05	1.0939954331e+05
0.330204819      	1.0000000000e+05	1.0939954331e+05
0.331204819      	1.0000000000e+05	1.0939954331e+05
0.332204819      	1.0000000000e+05	1.0939954331e+05
0.333204819      	1.0000000000e+05	1.0939954331e+05
0.334204819      	1.0000000000e+05	1.0939954331e+05
0.335204819      	1.0000000000e+05	1.0939954331e+05
0.336204819      	1.0000000000e+05	1.0939954331e+05
0.337204819      	1.0000000000e+05	1.0939954330e+05
0.338204819      	1.0000000000e+05	1.0939954330e+05
0.339204819      	1.0000000000e+05	1.0939954330e+05
0.340204819      	1.0000000000e+05	1.0939954330e+05
0.341204819      	1.0000000000e+05	1.0939954330e+05
0.342204819      	1.0000000000e+05	1.0939954330e+05
0.343204819      	1.0000000000e+05	1.0939954330e+05
0.344204819      	1.0000000000e+05	1.0939954330e+05
0.345204819      	1.0000000000e+05	1.0939954330e+05
0.346204819      	1.0000000000e+05	1.0939954330e+05
0.347204819      	1.0000000000e+05	1.0939954330e+05
0.348204819      	1.0000000000e+05	1.0939954330e+05
0.349204819      	1.0000000000e+05	1.0939954330e+05
0.350204819      	1.0000000000e+05	1.0939954330e+05
0.351204819      	1.0000000000e+05	1.0939954330e+05
0.352204819      	1.0000000000e+05	1.0939954330e+05
0.353204819      	1.0000000000e+05	1.0939954329e+05
0.354204819      	1.0000000000e+05	1.0939954329e+05
0.355204819      	1.0000000000e+05	1.0939954329e+05
0.356204819      	1.0000000000e+05	1.0939954329e+05
0.357204819      	1.0000000000e+05	1.0939954329e+05
0.358204819      	1.0000000000e+05	1.0939954329e+05
0.359204819      	1.0000000000e+05	1.0939954329e+05
0.360204819      	1.0000000000e+05	1.0939954329e+05
0.361204819      	1.0000000000e+05	1.0939954329e+05
0.362204819      	1.0000000000e+05	1.0939954329e+05
0.363204819      	1.0000000000e+05	1.0939954329e+05
0.364204819      	1.0000000000e+05	1.0939954329e+05
0.365204819      	1.0000000000e+05	1.0939954329e+05
0.366204819      	1.0000000000e+05	1.0939954329e+05
0.367204819      	1.0000000000e+05	1.0939954329e+05
0.368204819      	1.0000000000e+05	1.0939954329e+05
0.369204819      	1.0000000000e+05	1.0939954329e+05
0.370204819      	1.0000000000e+05	1.0939954329e+05
0.371204819      	1.0000000000e+05	1.0939954328e+05
0.372204819      	1.0000000000e+05	1.0939954328e+05
0.373204819      	1.0000000000e+05	1.0939954328e+05
0.374204819      	1.0000000000e+05	1.0939954328e+05
0.375204819      	1.0000000000e+05	1.0939954328e+05
0.376204819      	1.0000000000e+05	1.0939954328e+05
0.377204819      	1.0000000000e+05	1.0939954328e+05
0.378204819      	1.0000000000e+05	1.0939954328e+05
0.379204819      	1.0000000000e+05	1.0939954328e+05
0.380204819      	1.0000000000e+05	1.0939954328e+05
0.381204819      	1.0000000000e+05	1.0939954328e+05
0.382204819      	1.0000000000e+05	1.0939954328e+05
0.383204819      	1.0000000000e+05	1.0939954328e+05
0.384204819      	1.0000000000e+05	1.0939954328e+05
0.385204819      	1.0000000000e+05	1.0939954328e+05
0.386204819      	1.0000000000e+05	1.0939954328e+05
0.387204819      	1.0000000000e+05	1.0939954328e+05
0.388204819      	1.0000000000e+05	1.0939954328e+05
0.389204819      	1.0000000000e+05	1.0939954328e+05
0.390204819      	1.0000000000e+05	1.0939954328e+05
0.391204819      	1.0000000000e+05	1.0939954327e+05
0.392204819      	1.0000000000e+05	1.0939954327e+05
0.393204819      	1.0000000000e+05	1.0939954327e+05
0.394204819      	1.0000000000e+05	1.0939954327e+05
0.395204819      	1.0000000000e+05	1.0939954327e+05
0.396204819      	1.0000000000e+05	1.0939954327e+05
0.397204819      	1.0000000000e+05	1.0939954327e+05
0.398204819      	1.0000000000e+05	1.0939954327e+05
0.399204819      	1.0000000000e+05	1.0939954327e+05
0.400204819      	1.0000000000e+05	1.0939954327e+05
0.401204819      	1.0000000000e+05	1.0939954327e+05
0.402204819      	1.0000000000e+05	1.0939954327e+05
