# Field minima and maxima
# Time       	field        	min          	location(min)	processor    	max          	location(max)	processor    
1.08569      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.742529e-01	(1.100056e-02 0.000000e+00 6.600000e-03)	0
1.09608      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.314103e-01	(-1.100056e-02 -1.100056e-02 5.956500e-01)	3
1.10907      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.657467e-01	(1.100056e-02 0.000000e+00 6.600000e-03)	0
1.12422      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.114282e-01	(-1.467634e-02 -1.788527e-02 5.956500e-01)	3
1.14317      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.379837e-01	(1.440183e-02 0.000000e+00 6.600000e-03)	0
1.16211      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.070356e-01	(-1.590302e-02 -1.319433e-02 5.956500e-01)	3
1.18106      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	6.634115e-01	(-7.333707e-03 -7.333707e-03 5.956500e-01)	3
1.19053      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.540726e-01	(-1.319433e-02 -1.590302e-02 5.956500e-01)	3
1.2          	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.510216e-01	(-7.333707e-03 -7.333707e-03 6.600000e-03)	0
1.21111      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.961260e-01	(-7.333707e-03 -7.333707e-03 6.600000e-03)	0
1.2246       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.182585e-01	(-7.333707e-03 -7.333707e-03 6.600000e-03)	0
1.24055      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	4.184473e-01	(-7.333707e-03 -7.333707e-03 6.600000e-03)	0
1.26048      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	6.379830e-01	(0.000000e+00 7.333707e-03 6.600000e-03)	0
1.27792      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	7.834672e-01	(0.000000e+00 -7.333707e-03 6.600000e-03)	0
1.29318      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	6.445616e-01	(-7.333707e-03 -7.333707e-03 1.980000e-02)	0
1.30505      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.275550e+00	(0.000000e+00 0.000000e+00 6.600000e-03)	0
1.31183      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.650657e+00	(0.000000e+00 -3.666854e-03 6.600000e-03)	0
1.31985      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.431471e+00	(0.000000e+00 0.000000e+00 6.600000e-03)	0
1.32875      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.551986e+00	(0.000000e+00 0.000000e+00 6.600000e-03)	0
1.33588      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.001547e+00	(0.000000e+00 0.000000e+00 1.980000e-02)	0
1.34122      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.135507e+00	(0.000000e+00 -3.666854e-03 1.980000e-02)	0
1.3471       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.025930e+00	(0.000000e+00 0.000000e+00 1.980000e-02)	0
1.35371      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.583078e+00	(0.000000e+00 0.000000e+00 1.980000e-02)	0
1.36143      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.806851e+00	(0.000000e+00 0.000000e+00 3.300000e-02)	0
1.36914      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	2.033719e+00	(0.000000e+00 0.000000e+00 3.300000e-02)	0
1.37686      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.608184e+00	(0.000000e+00 0.000000e+00 3.300000e-02)	0
1.38457      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.305676e+00	(0.000000e+00 0.000000e+00 3.300000e-02)	0
1.39229      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.407473e+00	(0.000000e+00 0.000000e+00 4.620000e-02)	0
1.4          	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.382392e+00	(0.000000e+00 0.000000e+00 4.620000e-02)	0
1.4087       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.336053e+00	(0.000000e+00 0.000000e+00 4.620000e-02)	0
1.41826      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.230582e+00	(0.000000e+00 0.000000e+00 4.620000e-02)	0
1.42895      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.103519e+00	(0.000000e+00 0.000000e+00 5.940000e-02)	0
1.44117      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.169048e+00	(0.000000e+00 -3.666854e-03 5.940000e-02)	0
1.45176      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.093297e+00	(0.000000e+00 0.000000e+00 7.095000e-02)	0
1.46102      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.027552e+00	(0.000000e+00 0.000000e+00 7.095000e-02)	0
1.47095      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	9.825581e-01	(0.000000e+00 0.000000e+00 7.095000e-02)	0
1.48088      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.090492e+00	(0.000000e+00 0.000000e+00 1.980000e-02)	0
1.4908       	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.121399e+00	(0.000000e+00 0.000000e+00 1.980000e-02)	0
1.50073      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.098532e+00	(0.000000e+00 0.000000e+00 3.300000e-02)	0
1.51066      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.089647e+00	(-3.666854e-03 0.000000e+00 3.300000e-02)	0
1.52058      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.128288e+00	(0.000000e+00 0.000000e+00 4.620000e-02)	0
1.53051      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.077838e+00	(0.000000e+00 0.000000e+00 5.940000e-02)	0
1.54044      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.207294e+00	(-3.666854e-03 0.000000e+00 5.940000e-02)	0
1.54895      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.274128e+00	(-3.666854e-03 0.000000e+00 7.095000e-02)	0
1.55746      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.260099e+00	(-3.666854e-03 0.000000e+00 8.085000e-02)	0
1.56455      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.236649e+00	(0.000000e+00 -3.666854e-03 8.085000e-02)	0
1.57164      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.172612e+00	(0.000000e+00 0.000000e+00 9.075000e-02)	0
1.57873      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.166337e+00	(0.000000e+00 0.000000e+00 9.075000e-02)	0
1.58582      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.117905e+00	(-3.666854e-03 0.000000e+00 9.075000e-02)	0
1.59291      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.083525e+00	(0.000000e+00 0.000000e+00 1.006500e-01)	0
1.6          	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.071379e+00	(0.000000e+00 0.000000e+00 1.105500e-01)	0
1.608        	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.056483e+00	(-3.666854e-03 0.000000e+00 1.204500e-01)	0
1.61714      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.020615e+00	(0.000000e+00 0.000000e+00 1.303500e-01)	0
1.62677      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	9.826075e-01	(-3.666854e-03 0.000000e+00 1.303500e-01)	0
